Algorithm,TestID,Steps,Time_us
Breadth-First Search,1,8,27957
Breadth-First Search,2,8,13201
Breadth-First Search,3,10,39354
Breadth-First Search,4,0,140
Breadth-First Search,5,8,14740
Breadth-First Search,6,10,53104
Breadth-First Search,7,2,412
Breadth-First Search,8,2,307
Breadth-First Search,9,12,115118
Breadth-First Search,10,8,11827
Breadth-First Search,11,6,3250
Breadth-First Search,12,12,137062
Breadth-First Search,13,12,119321
Breadth-First Search,14,4,1023
Breadth-First Search,15,4,609
Breadth-First Search,16,6,11527
Breadth-First Search,17,6,2639
Breadth-First Search,18,8,18723
Breadth-First Search,19,2,413
Breadth-First Search,20,8,16375
Breadth-First Search,21,6,9889
Breadth-First Search,22,4,1758
Breadth-First Search,23,6,5504
Breadth-First Search,24,2,234
Breadth-First Search,25,4,989
Breadth-First Search,26,2,333
Breadth-First Search,27,0,98
Breadth-First Search,28,10,47611
Breadth-First Search,29,4,1202
Breadth-First Search,30,8,14806
Breadth-First Search,31,8,22554
Breadth-First Search,32,8,16851
Breadth-First Search,33,6,3750
Breadth-First Search,34,6,6856
Breadth-First Search,35,14,267332
Breadth-First Search,36,4,802
Breadth-First Search,37,4,806
Breadth-First Search,38,8,17202
Breadth-First Search,39,4,1179
Breadth-First Search,40,2,380
Breadth-First Search,41,6,9944
Breadth-First Search,42,10,50894
Breadth-First Search,43,4,1038
Breadth-First Search,44,12,117593
Breadth-First Search,45,0,132
Breadth-First Search,46,6,3312
Breadth-First Search,47,2,282
Breadth-First Search,48,4,927
Breadth-First Search,49,4,759
Breadth-First Search,50,8,19784
Breadth-First Search,51,4,751
Breadth-First Search,52,2,440
Breadth-First Search,53,4,1169
Breadth-First Search,54,0,92
Breadth-First Search,55,6,8794
Breadth-First Search,56,6,4637
Breadth-First Search,57,10,50094
Breadth-First Search,58,8,14506
Breadth-First Search,59,6,5194
Breadth-First Search,60,4,1088
Breadth-First Search,61,2,12932
Breadth-First Search,62,2,452
Breadth-First Search,63,8,23174
Breadth-First Search,64,6,4601
Breadth-First Search,65,0,93
Breadth-First Search,66,6,7446
Breadth-First Search,67,2,302
Breadth-First Search,68,8,14713
Breadth-First Search,69,2,173
Breadth-First Search,70,4,693
Breadth-First Search,71,6,6288
Breadth-First Search,72,4,1145
Breadth-First Search,73,6,6672
Breadth-First Search,74,2,432
Breadth-First Search,75,8,13753
Breadth-First Search,76,8,16013
Breadth-First Search,77,8,16092
Breadth-First Search,78,6,4034
Breadth-First Search,79,4,1083
Breadth-First Search,80,6,5124
Breadth-First Search,81,6,6877
Breadth-First Search,82,4,1205
Breadth-First Search,83,8,13360
Breadth-First Search,84,2,409
Breadth-First Search,85,0,168
Breadth-First Search,86,6,6370
Breadth-First Search,87,4,1299
Breadth-First Search,88,8,15052
Breadth-First Search,89,4,1051
Breadth-First Search,90,4,1210
Breadth-First Search,91,4,4618
Breadth-First Search,92,10,51656
Breadth-First Search,93,12,139108
Breadth-First Search,94,6,2702
Breadth-First Search,95,6,3116
Breadth-First Search,96,4,627
Breadth-First Search,97,10,39447
Breadth-First Search,98,10,47190
Breadth-First Search,99,8,16858
Breadth-First Search,100,10,43136
Depth-First Search,1,20,381702
Depth-First Search,2,18,60065
Depth-First Search,3,20,515409
Depth-First Search,4,20,182148
Depth-First Search,5,20,1.58859e+06
Depth-First Search,6,18,197186
Depth-First Search,7,20,218166
Depth-First Search,8,14,202912
Depth-First Search,9,18,1.1854e+06
Depth-First Search,10,20,225054
Depth-First Search,11,20,339146
Depth-First Search,12,14,237460
Depth-First Search,13,20,424757
Depth-First Search,14,16,1.043e+06
Depth-First Search,15,2,230
Depth-First Search,16,20,962912
Depth-First Search,17,14,268588
Depth-First Search,18,18,111432
Depth-First Search,19,18,799849
Depth-First Search,20,16,71720
Depth-First Search,21,18,1.44311e+06
