Size,TestID,Success,Time(ms),Memory(KB),SolutionFound
4,1,Yes,0,196,Yes
4,2,Yes,0,196,Yes
4,3,Yes,0,196,Yes
4,4,Yes,0,196,Yes
4,5,Yes,0,196,Yes
4,6,Yes,0,196,Yes
4,7,Yes,0,196,Yes
4,8,Yes,0,196,Yes
4,9,Yes,0,196,Yes
4,10,Yes,0,196,Yes
4,11,Yes,0,196,Yes
4,12,Yes,0,196,Yes
4,13,Yes,0,196,Yes
4,14,Yes,0,196,Yes
4,15,Yes,0,196,Yes
4,16,Yes,0,196,Yes
4,17,Yes,0,196,Yes
4,18,Yes,0,196,Yes
4,19,Yes,0,196,Yes
4,20,Yes,0,196,Yes
4,21,Yes,0,196,Yes
4,22,Yes,0,196,Yes
4,23,Yes,0,196,Yes
4,24,Yes,0,196,Yes
4,25,Yes,0,196,Yes
4,26,Yes,0,196,Yes
4,27,Yes,0,196,Yes
4,28,Yes,0,196,Yes
4,29,Yes,0,196,Yes
4,30,Yes,0,196,Yes
4,31,Yes,0,196,Yes
4,32,Yes,0,196,Yes
4,33,Yes,0,196,Yes
4,34,Yes,0,196,Yes
4,35,Yes,0,196,Yes
4,36,Yes,0,196,Yes
4,37,Yes,0,196,Yes
4,38,Yes,0,196,Yes
4,39,Yes,0,196,Yes
4,40,Yes,0,196,Yes
4,41,Yes,0,196,Yes
4,42,Yes,0,196,Yes
4,43,Yes,0,196,Yes
4,44,Yes,0,196,Yes
4,45,Yes,0,196,Yes
4,46,Yes,0,196,Yes
4,47,Yes,0,196,Yes
4,48,Yes,0,196,Yes
4,49,Yes,0,196,Yes
4,50,Yes,0,196,Yes
8,1,Yes,3,292,Yes
8,2,Yes,4,292,Yes
8,3,Yes,3,292,Yes
8,4,Yes,4,292,Yes
8,5,Yes,3,292,Yes
8,6,Yes,7,292,Yes
8,7,Yes,3,292,Yes
8,8,Yes,3,292,Yes
8,9,Yes,4,292,Yes
8,10,Yes,3,292,Yes
8,11,Yes,3,296,Yes
8,12,Yes,3,300,Yes
8,13,Yes,4,300,Yes
8,14,Yes,4,300,Yes
8,15,Yes,4,304,Yes
8,16,Yes,4,304,Yes
8,17,Yes,6,304,Yes
8,18,Yes,3,304,Yes
8,19,Yes,3,304,Yes
8,20,Yes,3,304,Yes
8,21,Yes,3,304,Yes
8,22,Yes,5,304,Yes
8,23,Yes,4,304,Yes
8,24,Yes,4,304,Yes
8,25,Yes,3,304,Yes
8,26,Yes,5,304,Yes
8,27,Yes,3,304,Yes
8,28,Yes,5,304,Yes
8,29,Yes,3,304,Yes
8,30,Yes,5,304,Yes
8,31,Yes,3,304,Yes
8,32,Yes,5,304,Yes
8,33,Yes,3,304,Yes
8,34,Yes,3,304,Yes
8,35,Yes,5,312,Yes
8,36,Yes,4,312,Yes
8,37,Yes,5,312,Yes
8,38,Yes,3,312,Yes
8,39,Yes,5,312,Yes
8,40,Yes,3,312,Yes
8,41,Yes,3,312,Yes
8,42,Yes,4,312,Yes
8,43,Yes,6,312,Yes
8,44,Yes,5,312,Yes
8,45,Yes,4,312,Yes
8,46,Yes,4,312,Yes
8,47,Yes,3,312,Yes
8,48,Yes,4,312,Yes
8,49,Yes,3,312,Yes
8,50,Yes,3,312,Yes
12,1,Yes,17,328,Yes
12,2,Yes,19,328,Yes
12,3,Yes,17,328,Yes
12,4,Yes,14,328,Yes
12,5,Yes,16,328,Yes
12,6,Yes,15,328,Yes
12,7,Yes,17,328,Yes
12,8,Yes,85,328,Yes
12,9,Yes,27,328,Yes
12,10,Yes,27,328,Yes
12,11,Yes,15,328,Yes
12,12,Yes,16,328,Yes
12,13,Yes,15,328,Yes
12,14,Yes,15,332,Yes
12,15,Yes,14,336,Yes
12,16,Yes,14,336,Yes
12,17,Yes,14,340,Yes
12,18,Yes,14,340,Yes
12,19,Yes,16,340,Yes
12,20,Yes,20,344,Yes
12,21,Yes,18,344,Yes
12,22,Yes,16,344,Yes
12,23,Yes,18,344,Yes
12,24,Yes,19,344,Yes
12,25,Yes,18,344,Yes
12,26,Yes,18,344,Yes
12,27,Yes,19,344,Yes
12,28,Yes,15,344,Yes
12,29,Yes,16,344,Yes
12,30,Yes,17,348,Yes
12,31,Yes,16,348,Yes
12,32,Yes,17,348,Yes
12,33,Yes,16,348,Yes
12,34,Yes,17,348,Yes
12,35,Yes,15,348,Yes
12,36,Yes,16,348,Yes
